"year","trial_name","trial_type","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CMD_infect_plants","height_1st_branch","yield_ha","planted_number_plot","height","harvest_number","root_number","germinated_number_plot","starch_content","shoot_weight_plot","root_weight_water","root_rot_number","germination_perc","starch_yield_ha","CMD_incidence"
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi3_13",1,13,2,2,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,26.7,14,180,NA,NA,6,26.1,15.6,16,0,42.8571428571429,6.9687,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi4_9",1,9,2,6,"test"," (Operator: lizbethpino, Time: )","IBA-980505","test",NA,NA,22.3,14,220,NA,NA,6,20.9,13,13.4,0,42.8571428571429,4.6607,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Hanoi5_6",1,6,1,6,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,31,14,315,NA,NA,6,24.3,20,18.6,0,42.8571428571429,7.533,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_KU50_3",1,3,1,3,"check"," (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",NA,NA,30,14,335,NA,NA,6,28.6,19,18,0,42.8571428571429,8.58,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_Rayong11_14",1,14,2,1,"check"," (Operator: lizbethpino, Time: )","Rayong11","test",NA,NA,16.7,14,280,NA,NA,6,27,14,10,1,42.8571428571429,4.509,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok","R72","2023132DMEPR_naph_rep1_Rayong72_5",1,5,1,5,"check"," (Operator: lizbethpino, Time: )","Rayong72","test",NA,NA,47,14,310,NA,NA,6,29.2,18,28.2,0,42.8571428571429,13.724,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM1127-8_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,29.3,14,303,NA,NA,6,28.6,19.6,17.6,0,42.8571428571429,8.3798,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM1669-5_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","SM1669-5","test",NA,NA,34.3,14,319,NA,NA,6,31.1,18,20.6,1,42.8571428571429,10.6673,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM2775-2_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","SM2775-2","test",NA,NA,45,14,300,NA,NA,6,28.1,22.6,27,0,42.8571428571429,12.645,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep1_SM2775-4_10",1,10,2,5,"test"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",NA,NA,23,14,240,NA,NA,5,28.7,14.4,13.8,0,35.7142857142857,6.601,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_CM9912-167_19",2,19,3,5,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",NA,NA,46,14,312,NA,NA,6,30.4,19,27.6,0,42.8571428571429,13.984,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_GM1263-6_23",2,23,4,6,"test"," (Operator: lizbethpino, Time: )","GM1263-6","test",NA,NA,51,14,224,NA,NA,6,27.4,15,30.6,0,42.8571428571429,13.974,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi1_16",2,16,3,2,"test"," (Operator: lizbethpino, Time: )","TMEB-419","test",NA,NA,38.3,14,214,NA,NA,6,29.2,14.8,23,0,42.8571428571429,11.1836,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi2_28",2,28,4,1,"test"," (Operator: lizbethpino, Time: )","IBA-920057","test",NA,NA,27.3,14,285,NA,NA,6,22.4,18.8,16.4,0,42.8571428571429,6.1152,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi3_21",2,21,3,7,"test"," (Operator: lizbethpino, Time: )","IBA-972205","test",NA,NA,31.7,14,250,NA,NA,6,24.2,18,19,0,42.8571428571429,7.6714,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi4_18",2,18,3,4,"test"," (Operator: lizbethpino, Time: )","IBA-980505","test",NA,NA,24.7,14,227,NA,NA,6,19.6,15,14.8,1,42.8571428571429,4.8412,NA
2023,"2023132DMEPR_naph","2023132DMEPR_naph","2023-April-24","2024-February-27","Naphok",NA,"2023132DMEPR_naph_rep2_Hanoi5_26",2,26,4,3,"test"," (Operator: lizbethpino, Time: )","IBA-980581","test",NA,NA,34.7,14,260,NA,NA,6,25.2,18.8,20.8,0,42.8571428571429,8.7444,NA
